GEOID,district,state,year,race,estimate,moe
407,7,Arizona,2009,native american,0.04625457,0.002034564
407,7,Arizona,2009,asian,0.0160812,0.00130006
407,7,Arizona,2009,pacific islander,0.001839255,0.000685377
407,7,Arizona,2009,other,0.00262648,0.000739297
407,7,Arizona,2009,mixed,0.011938982,0.001398313
407,7,Arizona,2009,hispanic or latino,0.547314388,0.005733443
408,8,Arizona,2009,white,0.704002286,0.003658409
408,8,Arizona,2009,black,0.032888635,0.001681677
408,8,Arizona,2009,native american,0.007189799,0.000932795
408,8,Arizona,2009,asian,0.026852591,0.001127293
408,8,Arizona,2009,pacific islander,0.001263573,0.000281823
408,8,Arizona,2009,other,0.002484807,0.000587462
408,8,Arizona,2009,mixed,0.01838731,0.001382654
408,8,Arizona,2009,hispanic or latino,0.206930998,0.003831737
501,1,Arkansas,2009,white,0.791598975,0.000196022
501,1,Arkansas,2009,black,0.165727642,0.000893979
501,1,Arkansas,2009,native american,0.004204077,0.000555396
501,1,Arkansas,2009,asian,0.004290208,0.000377194
501,1,Arkansas,2009,pacific islander,7.72E-05,5.64E-05
501,1,Arkansas,2009,other,0.000139591,0.000100981
501,1,Arkansas,2009,mixed,0.011559355,0.001020205
501,1,Arkansas,2009,hispanic or latino,0.022402932,0.000313338
502,2,Arkansas,2009,white,0.721319945,0.000869008
502,2,Arkansas,2009,black,0.20561513,0.001327187
502,2,Arkansas,2009,native american,0.003700248,0.000477676
502,2,Arkansas,2009,asian,0.012737097,0.000462357
502,2,Arkansas,2009,pacific islander,0.000207504,0.000144835
502,2,Arkansas,2009,other,0.001565329,0.00086483
502,2,Arkansas,2009,mixed,0.015246637,0.001410746
502,2,Arkansas,2009,hispanic or latino,0.039608111,0
503,3,Arkansas,2009,white,0.816622452,0.000624876
503,3,Arkansas,2009,black,0.024711106,0.000846687
503,3,Arkansas,2009,native american,0.011297194,0.000623608
503,3,Arkansas,2009,asian,0.018781759,0.000694588
503,3,Arkansas,2009,pacific islander,0.002275156,0.000130552
503,3,Arkansas,2009,other,0.00164521,0.000562768
503,3,Arkansas,2009,mixed,0.020636106,0.001232006
503,3,Arkansas,2009,hispanic or latino,0.104031018,4.31E-05
504,4,Arkansas,2009,white,0.69097596,0.000308636
504,4,Arkansas,2009,black,0.241262399,0.000950235
504,4,Arkansas,2009,native american,0.005356285,0.000530611
504,4,Arkansas,2009,asian,0.005987241,0.000419624
504,4,Arkansas,2009,pacific islander,4.56E-05,4.11E-05
504,4,Arkansas,2009,other,0.000665925,0.000285831
504,4,Arkansas,2009,mixed,0.013094999,0.001126599
504,4,Arkansas,2009,hispanic or latino,0.04261158,0.000422665
601,1,California,2009,white,0.661265973,0.002635367
601,1,California,2009,black,0.016575841,0.000776832
601,1,California,2009,native american,0.022397685,0.000940993
601,1,California,2009,asian,0.052348232,0.001059716
601,1,California,2009,pacific islander,0.004010213,0.000477825
601,1,California,2009,other,0.002087187,0.000530591
601,1,California,2009,mixed,0.026739151,0.001500898
601,1,California,2009,hispanic or latino,0.214575718,0.0023774
602,2,California,2009,white,0.720734116,0.002538017
602,2,California,2009,black,0.011754351,0.000783339
602,2,California,2009,native american,0.014330822,0.000838884
602,2,California,2009,asian,0.041679307,0.001341645
602,2,California,2009,pacific islander,0.001848679,0.000173759
602,2,California,2009,other,0.002711776,0.00073349
602,2,California,2009,mixed,0.034059559,0.001531071
602,2,California,2009,hispanic or latino,0.17288139,0.001872891
603,3,California,2009,white,0.66360306,0.004275907
603,3,California,2009,black,0.058014481,0.003266465
603,3,California,2009,native american,0.008273986,0.001012088
603,3,California,2009,asian,0.097028165,0.002746529
603,3,California,2009,pacific islander,0.004842147,0.000845391
603,3,California,2009,other,0.002873537,0.000781888
603,3,California,2009,mixed,0.026847458,0.002042698
603,3,California,2009,hispanic or latino,0.138517165,0.003798307
604,4,California,2009,white,0.796861375,0.002401301
604,4,California,2009,black,0.015785123,0.000855989
604,4,California,2009,native american,0.009353209,0.000690657
604,4,California,2009,asian,0.041234117,0.001434648
604,4,California,2009,pacific islander,0.001941307,0.000290663
604,4,California,2009,other,0.00177331,0.000433328
604,4,California,2009,mixed,0.02275703,0.001294649
604,4,California,2009,hispanic or latino,0.110294529,0.00122665
605,5,California,2009,white,0.391975588,0.004788295
605,5,California,2009,black,0.135978533,0.003970283
605,5,California,2009,native american,0.00769078,0.000953861
605,5,California,2009,asian,0.159083008,0.003345087
605,5,California,2009,pacific islander,0.010771474,0.001018134
605,5,California,2009,other,0.004681662,0.001086788
605,5,California,2009,mixed,0.034537662,0.002603033
605,5,California,2009,hispanic or latino,0.255281294,0.004168943
606,6,California,2009,white,0.711258497,0.002086874
606,6,California,2009,black,0.021634135,0.000652929
606,6,California,2009,native american,0.00546711,0.000674798
606,6,California,2009,asian,0.047337361,0.001135597
606,6,California,2009,pacific islander,0.001879124,0.000332713
606,6,California,2009,other,0.002414901,0.000704476
606,6,California,2009,mixed,0.022679134,0.001432383
606,6,California,2009,hispanic or latino,0.187329739,0.001913488
607,7,California,2009,white,0.389326973,0.004730402
607,7,California,2009,black,0.145851024,0.003471088
607,7,California,2009,native american,0.004254931,0.000686622
607,7,California,2009,asian,0.148602071,0.003483241
607,7,California,2009,pacific islander,0.006712796,0.000949422
607,7,California,2009,other,0.005924396,0.001279062
607,7,California,2009,mixed,0.035171162,0.002173797
607,7,California,2009,hispanic or latino,0.264156647,0.004116695
608,8,California,2009,white,0.445858042,0.00289937
608,8,California,2009,black,0.072002812,0.001435165
608,8,California,2009,native american,0.002638014,0.000426423
608,8,California,2009,asian,0.289310387,0.003602433
608,8,California,2009,pacific islander,0.004314667,0.000576206
608,8,California,2009,other,0.003284527,0.000649569
608,8,California,2009,mixed,0.025155897,0.001562022
608,8,California,2009,hispanic or latino,0.157435654,0.001531454
609,9,California,2009,white,0.361898535,0.004767607
609,9,California,2009,black,0.209974791,0.003522924
609,9,California,2009,native american,0.002787144,0.000571924
609,9,California,2009,asian,0.16789822,0.003721443
609,9,California,2009,pacific islander,0.005687726,0.00109343
609,9,California,2009,other,0.007088388,0.001444777
609,9,California,2009,mixed,0.029489523,0.00247361
609,9,California,2009,hispanic or latino,0.215175674,0.004104301
610,10,California,2009,white,0.568524772,0.004759647
610,10,California,2009,black,0.071765212,0.003121558
610,10,California,2009,native american,0.003314103,0.000682659
610,10,California,2009,asian,0.118584213,0.002914427
610,10,California,2009,pacific islander,0.004040522,0.000857699
610,10,California,2009,other,0.004638578,0.001060455
610,10,California,2009,mixed,0.032456914,0.002249272
610,10,California,2009,hispanic or latino,0.196675686,0.004610863
611,11,California,2009,white,0.537633897,0.004677801
611,11,California,2009,black,0.046143557,0.002457201
611,11,California,2009,native american,0.003586006,0.000650319
611,11,California,2009,asian,0.13055018,0.003367911
611,11,California,2009,pacific islander,0.003652095,0.000950364
611,11,California,2009,other,0.00312999,0.000856517
611,11,California,2009,mixed,0.028840053,0.001915268
611,11,California,2009,hispanic or latino,0.246464222,0.00587534
612,12,California,2009,white,0.440971043,0.003918928
612,12,California,2009,black,0.022783958,0.001756707
612,12,California,2009,native american,0.00217005,0.000413343
612,12,California,2009,asian,0.329918036,0.003959636
612,12,California,2009,pacific islander,0.010447866,0.001629886
612,12,California,2009,other,0.004443435,0.001164875
612,12,California,2009,mixed,0.027524875,0.002115251
612,12,California,2009,hispanic or latino,0.161740737,0.003535334
613,13,California,2009,white,0.301889578,0.004891635
613,13,California,2009,black,0.069813398,0.003441738
613,13,California,2009,native american,0.003292507,0.000567078
613,13,California,2009,asian,0.346864657,0.004656007
613,13,California,2009,pacific islander,0.009897942,0.001127872
613,13,California,2009,other,0.004434517,0.000909524
613,13,California,2009,mixed,0.030312741,0.002346854
613,13,California,2009,hispanic or latino,0.23349466,0.004674857
614,14,California,2009,white,0.545966797,0.00578156
614,14,California,2009,black,0.029007238,0.002045564
614,14,California,2009,native american,0.002899461,0.000790762
614,14,California,2009,asian,0.194731094,0.004419429
614,14,California,2009,pacific islander,0.007429376,0.001731469
614,14,California,2009,other,0.002763722,0.000621877
614,14,California,2009,mixed,0.025979929,0.001832485
614,14,California,2009,hispanic or latino,0.191222383,0.005194408
615,15,California,2009,white,0.405309306,0.005024852
615,15,California,2009,black,0.023216299,0.002119788
615,15,California,2009,native american,0.003109326,0.000665744
615,15,California,2009,asian,0.344000363,0.004120046
615,15,California,2009,pacific islander,0.003038212,0.000826127
615,15,California,2009,other,0.004682902,0.001034929
615,15,California,2009,mixed,0.025967031,0.001930657
615,15,California,2009,hispanic or latino,0.190676562,0.004784276
616,16,California,2009,white,0.282318024,0.004351003
616,16,California,2009,black,0.027388118,0.001726541
616,16,California,2009,native american,0.002811278,0.000620711
616,16,California,2009,asian,0.272800958,0.00411447
616,16,California,2009,pacific islander,0.003751384,0.000828619
616,16,California,2009,other,0.003758917,0.001062139
616,16,California,2009,mixed,0.01906577,0.001503567
616,16,California,2009,hispanic or latino,0.388105551,0.004985273
617,17,California,2009,white,0.419589182,0.002464097
617,17,California,2009,black,0.023534228,0.000616413
617,17,California,2009,native american,0.003320227,0.000459197
617,17,California,2009,asian,0.052314196,0.001282638
617,17,California,2009,pacific islander,0.003036926,0.00032066
617,17,California,2009,other,0.003751405,0.000947969
617,17,California,2009,mixed,0.021672535,0.001285751
617,17,California,2009,hispanic or latino,0.472781301,0.001657778
618,18,California,2009,white,0.326146811,0.004893994
618,18,California,2009,black,0.055601888,0.002334894
618,18,California,2009,native american,0.005839376,0.000796863
618,18,California,2009,asian,0.089561383,0.002777595
618,18,California,2009,pacific islander,0.003954325,0.000686901
618,18,California,2009,other,0.002809013,0.000796863
618,18,California,2009,mixed,0.019774479,0.001665129
618,18,California,2009,hispanic or latino,0.496312724,0.005935057
619,19,California,2009,white,0.534475032,0.004927139
619,19,California,2009,black,0.03738677,0.002011326
619,19,California,2009,native american,0.007108226,0.000939796
619,19,California,2009,asian,0.051975337,0.0025695
619,19,California,2009,pacific islander,0.002539622,0.000478047
619,19,California,2009,other,0.0017465,0.000559532
619,19,California,2009,mixed,0.021235044,0.001853788
619,19,California,2009,hispanic or latino,0.34353347,0.004847012
620,20,California,2009,white,0.182058104,0.003648694
620,20,California,2009,black,0.063034488,0.002315518
620,20,California,2009,native american,0.005037718,0.000518378
620,20,California,2009,asian,0.054051655,0.002737953
620,20,California,2009,pacific islander,0.000876374,0.000279237
620,20,California,2009,other,0.002527451,0.000675896
620,20,California,2009,mixed,0.009714577,0.001267306
620,20,California,2009,hispanic or latino,0.682699633,0.006369463
621,21,California,2009,white,0.404979326,0.003638686
621,21,California,2009,black,0.022521935,0.001633778
621,21,California,2009,native american,0.007516724,0.000662924
621,21,California,2009,asian,0.061089858,0.002113827
621,21,California,2009,pacific islander,0.001327193,0.000279692
621,21,California,2009,other,0.002653041,0.000793357
621,21,California,2009,mixed,0.018319831,0.001640502
621,21,California,2009,hispanic or latino,0.481592093,0.003886106
622,22,California,2009,white,0.579277514,0.003744141
622,22,California,2009,black,0.059017029,0.00242968
622,22,California,2009,native american,0.007103171,0.000857141
622,22,California,2009,asian,0.034648017,0.002126137
622,22,California,2009,pacific islander,0.001244927,0.000351682
622,22,California,2009,other,0.002743921,0.00068598
622,22,California,2009,mixed,0.024696624,0.001735677
622,22,California,2009,hispanic or latino,0.291268796,0.004661456
623,23,California,2009,white,0.448723264,0.003677972
623,23,California,2009,black,0.018092223,0.001489715
623,23,California,2009,native american,0.003055359,0.000549722
623,23,California,2009,asian,0.053953213,0.002056141
623,23,California,2009,pacific islander,0.001913396,0.000393309
623,23,California,2009,other,0.001838986,0.000522387
623,23,California,2009,mixed,0.020028397,0.001697759
623,23,California,2009,hispanic or latino,0.452395162,0.003750864
624,24,California,2009,white,0.636078777,0.003371131
624,24,California,2009,black,0.014229153,0.001177865
624,24,California,2009,native american,0.004117263,0.000648352
624,24,California,2009,asian,0.055508588,0.001683309
624,24,California,2009,pacific islander,0.001614112,0.00053553
624,24,California,2009,other,0.002685172,0.000643839
624,24,California,2009,mixed,0.019414467,0.001484742
624,24,California,2009,hispanic or latino,0.266352469,0.003562177
625,25,California,2009,white,0.44612338,0.006013565
625,25,California,2009,black,0.092572686,0.00484171
625,25,California,2009,native american,0.007309108,0.000888773
625,25,California,2009,asian,0.052127764,0.002707124
625,25,California,2009,pacific islander,0.002549007,0.000861995
625,25,California,2009,other,0.002249349,0.000499855
625,25,California,2009,mixed,0.026331662,0.001948415
625,25,California,2009,hispanic or latino,0.370737044,0.007307833
626,26,California,2009,white,0.457924426,0.006335019
626,26,California,2009,black,0.043114477,0.003109554
626,26,California,2009,native american,0.003256947,0.001031748
626,26,California,2009,asian,0.174282427,0.003747778
626,26,California,2009,pacific islander,0.00191038,0.000821392
626,26,California,2009,other,0.00300366,0.000742687
626,26,California,2009,mixed,0.023531297,0.002323937
626,26,California,2009,hispanic or latino,0.292976386,0.005940064
627,27,California,2009,white,0.400913674,0.005404939
627,27,California,2009,black,0.042021873,0.002843138
627,27,California,2009,native american,0.001762448,0.000433169
627,27,California,2009,asian,0.120674077,0.004093523
627,27,California,2009,pacific islander,0.00159573,0.000666872
627,27,California,2009,other,0.003764552,0.000992865
627,27,California,2009,mixed,0.016706039,0.001391798
627,27,California,2009,hispanic or latino,0.412561608,0.007683915
628,28,California,2009,white,0.308165155,0.005858229
628,28,California,2009,black,0.032157613,0.002770206
628,28,California,2009,native american,0.001488241,0.000404912
628,28,California,2009,asian,0.066452853,0.003521966
628,28,California,2009,pacific islander,0.001743411,0.000832743
628,28,California,2009,other,0.004206496,0.000887749
628,28,California,2009,mixed,0.012359733,0.001178063
628,28,California,2009,hispanic or latino,0.573426499,0.007439676
629,29,California,2009,white,0.411413287,0.005256561
629,29,California,2009,black,0.05275187,0.002815306
629,29,California,2009,native american,0.002083998,0.000512984
629,29,California,2009,asian,0.261705886,0.004552734
629,29,California,2009,pacific islander,0.001467196,0.000555733
629,29,California,2009,other,0.003210731,0.000870241
629,29,California,2009,mixed,0.015554412,0.001415287
629,29,California,2009,hispanic or latino,0.25181262,0.006219933
630,30,California,2009,white,0.748520042,0.00812859
630,30,California,2009,black,0.02967951,0.00274844
630,30,California,2009,native american,0.001479579,0.000385054
630,30,California,2009,asian,0.098411726,0.003523096
630,30,California,2009,pacific islander,0.000560906,0.000289549
630,30,California,2009,other,0.003767166,0.000898966
630,30,California,2009,mixed,0.02327457,0.001725165
630,30,California,2009,hispanic or latino,0.0943065,0.004358392
631,31,California,2009,white,0.110103162,0.003907161
631,31,California,2009,black,0.039657682,0.002791729
631,31,California,2009,native american,0.002350598,0.000460037
631,31,California,2009,asian,0.140939798,0.004698046
631,31,California,2009,pacific islander,0.002194627,0.000735744
631,31,California,2009,other,0.004242736,0.001175299
631,31,California,2009,mixed,0.007138446,0.000888564
631,31,California,2009,hispanic or latino,0.693372951,0.008961262
632,32,California,2009,white,0.117952491,0.003668361
632,32,California,2009,black,0.022859905,0.002623116
632,32,California,2009,native american,0.001717956,0.000609597
632,32,California,2009,asian,0.203862631,0.004428818
632,32,California,2009,pacific islander,0.001099123,0.000432568
632,32,California,2009,other,0.002701625,0.000738906
632,32,California,2009,mixed,0.007518369,0.001028311
632,32,California,2009,hispanic or latino,0.642287899,0.006463888
633,33,California,2009,white,0.220916738,0.005076441
633,33,California,2009,black,0.263714304,0.005209869
633,33,California,2009,native american,0.002266712,0.000712129
633,33,California,2009,asian,0.12496548,0.004443438
633,33,California,2009,pacific islander,0.001962622,0.000679548
633,33,California,2009,other,0.006347103,0.001317206
633,33,California,2009,mixed,0.01696543,0.001643017
633,33,California,2009,hispanic or latino,0.362861611,0.007963745
634,34,California,2009,white,0.085347933,0.003185673
634,34,California,2009,black,0.042491259,0.003213782
634,34,California,2009,native american,0.001992607,0.000515329
634,34,California,2009,asian,0.057846516,0.003027951
634,34,California,2009,pacific islander,0.001396074,0.000610587
634,34,California,2009,other,0.003869656,0.001519441
634,34,California,2009,mixed,0.005957521,0.001161834
634,34,California,2009,hispanic or latino,0.801098433,0.008220286
635,35,California,2009,white,0.096519176,0.002747581
635,35,California,2009,black,0.291880195,0.006068268
635,35,California,2009,native american,0.001745024,0.000508083
635,35,California,2009,asian,0.054487388,0.002650803
635,35,California,2009,pacific islander,0.002670461,0.000733394
635,35,California,2009,other,0.003296492,0.000736418
635,35,California,2009,mixed,0.011843178,0.001185527
635,35,California,2009,hispanic or latino,0.537558086,0.007736172
636,36,California,2009,white,0.452727525,0.004543716
636,36,California,2009,black,0.041173809,0.003071808
636,36,California,2009,native american,0.00191988,0.000447972
636,36,California,2009,asian,0.149237152,0.003791001
636,36,California,2009,pacific islander,0.003935754,0.001042221
636,36,California,2009,other,0.0029042,0.000604915
636,36,California,2009,mixed,0.027007836,0.001788841
636,36,California,2009,hispanic or latino,0.321093844,0.006631205
637,37,California,2009,white,0.141278891,0.003617574
637,37,California,2009,black,0.224359262,0.005295559
637,37,California,2009,native american,0.002417908,0.000602155
637,37,California,2009,asian,0.118571917,0.004402388
637,37,California,2009,pacific islander,0.009899182,0.002080453
637,37,California,2009,other,0.003312627,0.001171803
637,37,California,2009,mixed,0.020829302,0.001993768
637,37,California,2009,hispanic or latino,0.479330911,0.007298615
638,38,California,2009,white,0.102614229,0.002836819
638,38,California,2009,black,0.032137045,0.002659812
638,38,California,2009,native american,0.002075531,0.000678268
638,38,California,2009,asian,0.107275948,0.003330247
638,38,California,2009,pacific islander,0.000783219,0.000429204
638,38,California,2009,other,0.002285433,0.000761289
638,38,California,2009,mixed,0.007042706,0.001130968
638,38,California,2009,hispanic or latino,0.74578589,0.006079346
639,39,California,2009,white,0.170110465,0.00377021
639,39,California,2009,black,0.052044656,0.003257425
639,39,California,2009,native american,0.00274155,0.000824782
639,39,California,2009,asian,0.102910831,0.00328986
639,39,California,2009,pacific islander,0.003816546,0.001076541
639,39,California,2009,other,0.002418742,0.001138322
639,39,California,2009,mixed,0.012374815,0.001286598
639,39,California,2009,hispanic or latino,0.653582395,0.006584353
640,40,California,2009,white,0.417118743,0.005290196
640,40,California,2009,black,0.024975176,0.002094888
640,40,California,2009,native american,0.003614589,0.000776501
640,40,California,2009,asian,0.189472282,0.004198857
640,40,California,2009,pacific islander,0.002816897,0.000829479
640,40,California,2009,other,0.003337592,0.000814342
640,40,California,2009,mixed,0.017272226,0.001401637
640,40,California,2009,hispanic or latino,0.341392495,0.00604702
641,41,California,2009,white,0.5445704,0.006707037
641,41,California,2009,black,0.058395618,0.002967332
641,41,California,2009,native american,0.008497419,0.001112585
641,41,California,2009,asian,0.041823747,0.002114831
641,41,California,2009,pacific islander,0.002236992,0.00067517
641,41,California,2009,other,0.002497077,0.000853814
641,41,California,2009,mixed,0.019864966,0.001723391
641,41,California,2009,hispanic or latino,0.322113781,0.005761274
642,42,California,2009,white,0.486103455,0.005731905
642,42,California,2009,black,0.024500643,0.001879264
642,42,California,2009,native american,0.003432869,0.000796222
642,42,California,2009,asian,0.186643183,0.003919864
642,42,California,2009,pacific islander,0.001208525,0.000445167
642,42,California,2009,other,0.002883132,0.000691653
642,42,California,2009,mixed,0.019799495,0.001328033
642,42,California,2009,hispanic or latino,0.275428698,0.00562136
643,43,California,2009,white,0.165765208,0.004807779
643,43,California,2009,black,0.109275194,0.003696468
643,43,California,2009,native american,0.002501495,0.000663719
643,43,California,2009,asian,0.037434587,0.002239354
643,43,California,2009,pacific islander,0.002430383,0.000900761
643,43,California,2009,other,0.00313175,0.000875663
643,43,California,2009,mixed,0.012885351,0.001291184
643,43,California,2009,hispanic or latino,0.666576033,0.005995781
644,44,California,2009,white,0.428675383,0.004345974
644,44,California,2009,black,0.053541692,0.002193095
644,44,California,2009,native american,0.003705012,0.000634678
644,44,California,2009,asian,0.064783663,0.002046051
644,44,California,2009,pacific islander,0.002110147,0.000654787
644,44,California,2009,other,0.003436059,0.000784236
644,44,California,2009,mixed,0.019681304,0.001591094
644,44,California,2009,hispanic or latino,0.42406674,0.005314957
645,45,California,2009,white,0.43642509,0.004247517
645,45,California,2009,black,0.061791115,0.002273759
645,45,California,2009,native american,0.004788447,0.000850198
645,45,California,2009,asian,0.04184273,0.002164878
645,45,California,2009,pacific islander,0.002618935,0.000661394
645,45,California,2009,other,0.011760304,0.002154453
645,45,California,2009,mixed,0.018073085,0.001498851
645,45,California,2009,hispanic or latino,0.422700295,0.005406983
646,46,California,2009,white,0.584216539,0.006566495
646,46,California,2009,black,0.014982336,0.002063268
646,46,California,2009,native american,0.003010419,0.000646418
646,46,California,2009,asian,0.175832012,0.004594686
646,46,California,2009,pacific islander,0.00425055,0.001122319
646,46,California,2009,other,0.002570172,0.000537907
646,46,California,2009,mixed,0.020925665,0.001523811
646,46,California,2009,hispanic or latino,0.194212307,0.006397527
647,47,California,2009,white,0.133647601,0.003969777
647,47,California,2009,black,0.013654272,0.001567142
647,47,California,2009,native american,0.002095816,0.000588465
647,47,California,2009,asian,0.146570226,0.003592153
647,47,California,2009,pacific islander,0.004610166,0.00113602
647,47,California,2009,other,0.002795995,0.000986544
647,47,California,2009,mixed,0.007061578,0.001153328
647,47,California,2009,hispanic or latino,0.689564347,0.007100914
648,48,California,2009,white,0.620603251,0.005750745
648,48,California,2009,black,0.015188121,0.001763543
648,48,California,2009,native american,0.002118246,0.000535616
648,48,California,2009,asian,0.17047533,0.003742187
648,48,California,2009,pacific islander,0.002240754,0.000699434
648,48,California,2009,other,0.004705155,0.000920233
648,48,California,2009,mixed,0.019880455,0.001507131
